author,watcher_count,follower_count,co_fo_wa_count
andrew_shadura,5,4,1
andreytert,3,1,1
androbot,2,1,1
andsve,5,4,1
andyfinnell,38,6,1
andymackinlay,2,2,1
andysan29,7,4,2
andy_somerville,2,6,1
AndyStaple,3,5,1
aneeshep,2,3,1
aneolf,2,6,1
anfrodriguezpe,2,1,1
angelnan,19,14,3
angeral,2,1,1
angry_elf,8,12,3
angry_tapeworm,3,2,1
aniemiz,2,2,1
animesh,2,1,1
aniruddhabarapatre,2,1,1
anjanavk,20,4,3
anjinkristou,3,2,1
ankstoo,3,1,1
anlun,3,1,1
anmi,2,1,1
annevk,3,7,2
anonymouscr,3,1,1
anonymousme,2,1,1
anrana,2,1,1
Ansariel,2,6,1
Ansif,2,3,1
ant512,24,3,3
Anteru,22,9,4
AnteWall,2,4,1
anth,7,5,1
anthonyb,3,3,1
anthony_bargnesi,2,2,1
anthonydotnet,5,9,2
anthonyroach,2,1,1
anthony_tuininga,108,10,5
antocuni,78,11,4
antoniogoulao,2,4,1
anton_lagankin,2,1,1
antrigp209,2,1,1
anurse,9,4,1
anushk,3,2,1
aodag,24,48,9
aohta,2,25,1
aolserver,4,3,3
aotto,8,5,2
aovozza,2,1,1
aparashar,2,5,1
aparhimovich,2,1,1
aparradcs,6,4,2
apathy,2,2,1
apdavison,28,5,2
apeiron,2,1,1
apertuscus,2,3,1
apethick,3,1,1
aphalo,2,2,1
apit,2,1,1
apotheon,8,3,1
appfluence,3,1,1
Appofes,3,1,1
apreimantas,7,4,3
apurkiss,2,1,1
aquazul,2,1,1
aragog,4,2,1
aragot,3,4,1
arakawa,2,1,1
Arap,2,2,1
arcanum,4,1,1
archer256,9,1,1
archerz,2,1,1
ardinotow,41,6,2
arfonzo,5,1,1
argv0,13,9,5
arialdomartini,2,7,1
ariefmr,3,10,2
arieg,12,2,1
arigo,31,29,5
ariovistus,33,3,2
aristar,6,3,1
ariya,59,27,3
arjan,10,8,2
Arkuray,3,1,1
Arministrator,2,1,1
ArminW,11,12,2
armish,7,6,3
arnabocean,3,1,1
arnavawasthi,2,2,1
ArneBab,19,5,2
arodriguezcarrillo,5,6,3
Arrehn,3,3,1
artemis,2,2,1
arter97,4,11,1
arturmietek,2,1,1
arvi,1,1,1
arychagov,2,3,1
arzo,2,2,1
as4,2,1,1
asanchez75,3,2,1
asano210,2,1,1
asavinych,1,1,1
aschreyer,3,5,2
asdfgResident,2,2,1
aseba,7,2,1
asermax,2,1,1
ashaw596,2,1,1
ashcrow,6,2,1
ashibata,2,4,1
asifashraf,2,1,1
asironi,2,1,1
askeksa,6,4,4
asmodai,25,4,1
asolya,2,2,1
assarbad,4,1,1
assaron,3,5,1
astanin,11,7,1
astawiarski,2,1,1
asterite,2,2,1
astrataro,2,4,1
astro_ufsc,11,6,5
atabunov,1,1,1
atb,24,6,1
aterrel,6,6,1
atlas0fd00m,17,3,1
atomfrede,2,1,1
attila_afra,6,2,1
attilax,11,1,1
atty303,2,3,1
auc,5,6,1
auggernaut,2,1,1
aurbanowGr1,4,5,1
aurbanowicz,2,10,1
auria,14,8,2
austin_ivicevic,2,1,1
AutoDealerRU,3,2,1
avael,2,2,1
avaraline,7,3,1
avibryant,16,4,3
avintechsoft,2,1,1
aviser,5,1,1
Avram,2,4,1
awa15,4,3,1
Awilum,25,6,1
aws,2,4,1
axelclk,15,8,3
ayhan,2,1,1
ayysir,3,6,1
azarael,2,3,1
azasypkin,2,1,1
azhdanov,16,3,1
azizlight,13,6,3
azmaeve,6,1,1
AzuiSleet,29,14,3
b0bby,3,2,2
b2berry,2,5,1
b3nturner,5,1,1
bacher09,2,1,1
bachmeil,3,4,1
BackwardSpy,2,2,1
badams,2,1,1
badfrog,2,1,1
bagyusz,6,3,2
bahamada,1,1,1
bakkely,3,3,2
baldand,24,3,1
baldur,3,2,2
balpha,8,2,1
bami,6,2,2
BamX,8,4,2
baoilleach,2,4,1
bap,7,7,3
baranbaygan,3,1,1
barbuza,29,16,3
BarclayTech,3,2,1
barryma,2,1,1
barrywardell,6,3,1
bartbes,15,10,2
bashtech,15,7,4
basicer,7,4,1
basie,5,5,3
BastienLaby,4,1,1
batisteo,5,5,2
BattleClinic,30,13,4
battlesignsusmc,2,2,1
bayazee,6,5,2
baylej,2,1,1
bbangert,59,76,8
bbenne10,6,2,1
b_c,20,9,1
bcanustundag,2,4,1
bcroq,2,5,1
bean,2,1,1
bearstech,17,4,1
beckermr,3,4,1
befi,7,1,1
beholdmyglory,4,6,2
behrends,3,6,1
bekroogle,2,2,1
belak,5,19,3
belczyk,4,1,1
benad,2,1,1
BenAlink,7,3,2
benallard,75,8,2
benbarefield,2,1,1
bendikro,2,3,1
benedek,3,2,2
benjamin_dobell,17,5,2
benjaminws,12,12,2
benjaminzhao,3,1,1
benluo,5,1,1
benmao,11,8,3
bennettandrews,1,3,1
bennofs,2,2,1
benoit_bar,4,3,2
benoitc,15,51,1
benoitrat,2,4,1
benoitsteiner,5,3,2
benopp,3,1,1
bentaylorche,5,2,1
berndloerwald,23,4,2
bernh,7,1,1
berniecode,4,1,1
berrueta,2,6,1
Bersam,3,11,1
berserkguard,2,2,1
bertilholmstrom,17,18,6
BeryJu,2,1,1
bestchai,7,1,1
BestFriendChris,4,4,1
beulard,2,2,1
beygi,5,9,2
bfad,2,3,1
bglavic,5,6,1
bgneal,9,4,2
bgozick,2,1,1
bhattabj,2,1,1
bhuguet,2,5,1
b_idler,4,2,2
bigal41,3,1,1
bigfetz,3,4,1
bigwillyg,4,1,1
billgarrison,15,3,2
BillWagner,6,2,2
BillyGalbreath,4,6,2
BillyONeal,6,6,2
bin2dec,2,1,1
binarymutant,3,1,1
binet,23,8,1
birkenfeld,652,117,52
Bismut,3,8,1
bitbatzen,2,1,1
bitbutcher,2,2,1
bitsquid,183,69,29
BizzAppDev,37,17,4
bjarkef,2,1,1
bjartn,4,2,1
bjfarmer,3,2,2
bjoern,9,4,1
bjones,13,1,1
bkapidani,2,4,1
bkchr,2,1,1
blackey02,3,1,1
blackhawkdc,2,1,1
BlackMATov,4,1,1
blackops7799,2,2,1
blackrim,7,5,1
blacksburg98,2,2,1
blackswift,3,1,1
blast007,6,4,3
blaurent,2,2,1
blazejas789,2,2,1
bletous,2,1,1
blevyq,7,2,2
blockbomb,3,1,1
Bloodwurm,10,3,3
Blorp,4,1,1
blueluna,48,1,1
bmcmurray,2,8,1
bmearns,5,2,1
bo198214,4,1,1
bo1g,2,1,1
bobbyleary,2,1,1
bobf,135,8,3
boblefrag,8,7,2
bobross,2,1,1
bob_swift,5,29,1
boden,4,1,1
bolger,6,1,1
BoLTrees,20,12,1
bolzanni,2,1,1
bomeara,9,1,1
bomhome,2,2,1
bondarenkoalex,2,2,1
bool_,2,1,1
Boolsheet,7,1,1
boomlinde,4,2,1
boomplex,36,5,2
BoostYourBIM,17,4,3
boredzo,87,48,9
borgotta,2,1,1
boriszweimueller,2,2,1
bos,266,74,15
bosch,4,1,1
bosp,7,7,4
Bounz,2,2,1
Bouska,1,1,1
bparanj,8,1,1
bpio,21,2,1
bpollack,2,17,1
brad,2,4,1
bradj,2,4,1
braghimsistemas,1,1,1
brahmbhattspandan,21,12,3
BrainHearts,2,8,1
bralpassos,1,6,1
brandon,29,30,6
